cresta_zone,1,3,4,5,6,7,8,9,10,12,13,14,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,1.0,0.5,0.25,0.0,0.75,1.0,0.75,0.25,0.5,0.0,0.5,0.25,1.0,0.75,0.25,0.25,0.5,0.25,0.5,0.5,0.75,0.0,0.25,0.25,0.75,0.5,1.0,0.25,0.5,0.0,1.0,0.5,0.75,0.75,0.5,0.25,0.5,0.25,0.5,0.0,0.0
3,0.5,1.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
4,0.25,0.0,1.0,0.75,0.0,0.25,0.75,0.75,0.5,0.5,0.0,0.25,0.5,0.25,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.0,0.5,0.75,0.25,0.25,0.5,0.75,0.75,0.75,0.25,0.0,0.5,0.75,0.75,0.0,0.5,0.75,0.75,0.5,0.75
5,0.0,0.0,0.75,1.0,0.0,0.25,1.0,0.75,0.5,0.75,0.0,0.25,0.25,0.0,1.0,0.75,0.5,1.0,0.5,0.25,0.5,0.0,0.25,1.0,0.0,0.25,0.25,1.0,0.75,0.75,0.0,0.0,0.25,0.75,0.75,0.0,0.5,1.0,0.5,1.0,0.75
6,0.75,0.25,0.0,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.25,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.75,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.75,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.75,0.25,0.25,0.75,1.0,0.75,0.25,0.5,0.0,0.75,0.25,1.0,0.75,0.25,0.25,0.5,0.25,0.5,0.5,0.75,1.0,0.5,0.5,1.0,0.75,1.0,0.5,0.5,0.0,1.0,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.0,0.0
8,0.75,0.0,0.75,1.0,0.25,0.75,1.0,0.75,0.75,0.5,0.0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,1.0,0.25,0.5,0.5,1.0,1.0,0.75,0.5,0.0,0.5,1.0,1.0,0.0,0.75,1.0,0.75,0.75,0.5
9,0.25,0.0,0.75,0.75,0.0,0.25,0.75,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.75,1.0,0.75,1.0,0.75,0.25,0.5,0.0,0.75,0.75,0.25,0.25,0.25,0.75,0.75,0.75,0.25,0.0,0.25,0.75,0.75,0.0,0.75,0.75,0.5,0.75,1.0
10,0.5,0.0,0.5,0.5,0.0,0.5,0.75,0.5,1.0,0.25,0.0,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.0,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.25
